link;produk;harga;layar;chipset;memori;ram;kamera;os;rating
https://www.hallogsm.com/harga-hp/sharp-aquos-r10/;Sharp Aquos R10;Rp9.999.999;PRO IGZO LTPO OLED 6.5 inci;Qualcomm SM7675-AB Snapdragon 7+ Gen 3 (4 nm);256 GB / 512 GB;12 GB;Belakang Dual 50.3 MP + 50.3 MP, Depan 50.3 MP;Android 15;8
https://www.hallogsm.com/harga-hp/vivo-s30-pro-mini/;Vivo S30 Pro Mini;Rp7.699.000;LTPO AMOLED 6.31 inci;Mediatek Dimensity 9300+ (4 nm);256 GB / 512 GB;12 GB / 16 GB;Belakang Triple 50 MP + 50 MP + 8 MP, Depan 50 MP;Android 15;8.2
https://www.hallogsm.com/harga-hp/vivo-s30/;Vivo S30;Rp5.999.000;AMOLED 6.67 inci;Qualcomm SM7750-AB Snapdragon 7 Gen 4 (4 nm);256 GB / 512 GB;12 GB / 16 GB;Belakang Triple 50 MP + 50 MP + 8 MP, Depan 50 MP;Android 15;8.2
https://www.hallogsm.com/harga-hp/huawei-pura-80-pro-plus/;Huawei Pura 80 Pro+;Rp18.099.000;LTPO OLED 6.8 inci;Kirin 9020 (7 nm);512 GB / 1 TB;16 GB;Belakang Triple 50 MP + 48 MP + 40 MP, Depan 13 MP;EMUI 14.2;8.4
https://www.hallogsm.com/harga-hp/huawei-pura-80-pro/;Huawei Pura 80 Pro;Rp14.799.000;LTPO OLED 6.8 inci;Belum Diketahui;256 GB / 512 GB / 1 TB;12 GB;Belakang Triple 50 MP + 48 MP + 50 MP, Depan 13 MP;EMUI 14.2;8.2
https://www.hallogsm.com/harga-hp/xiaomi-redmi-pad-2/;Xiaomi Redmi Pad 2;Rp2.699.000;IPS LCD 11.0 inci;Mediatek Helio G100 Ultra (6 nm);128 GB / 256 GB;4 GB / 6 GB / 8 GB;Belakang 8 MP, Depan 5 MP;Android 15;8
https://www.hallogsm.com/harga-hp/huawei-pura-80/;Huawei Pura 80;Rp9.999.999;LTPO OLED 6.6 inci;Octa-core;256 GB / 512 GB / 1 TB;12 GB;Belakang Triple 50 MP + 12 MP + 13 MP, Depan 13 MP;EMUI 14.2;8
https://www.hallogsm.com/harga-hp/zte-blade-a56/;ZTE Blade A56;Rp9.999.999;IPS LCD 6.75 inci;Unisoc T7200 (12 nm);64 GB / 128 GB;4 GB;Belakang 13 MP, Depan 8 MP;Android 15;8
https://www.hallogsm.com/harga-hp/vivo-t4-ultra/;Vivo T4 Ultra;Rp7.199.000;AMOLED 6.67 inci;Mediatek Dimensity 9300+ (4 nm);256 GB / 512 GB;8 GB / 12 GB;Belakang Triple 50 MP + 50 MP + 8 MP, Depan 32 MP;Android 15;8.2
https://www.hallogsm.com/harga-hp/apple-ipad-pro-13-2024/;Apple iPad Pro 13 (2024);Rp26.999.000;Ultra Retina Tandem OLED 13.0 inci;Apple M4;256 GB / 512 GB / 1 TB / 2 TB;8 GB / 16 GB;Belakang Single 12 MP, Depan 12 MP;iPadOS 17.4;8.2
https://www.hallogsm.com/harga-hp/apple-ipad-pro-11-2024/;Apple iPad Pro 11 (2024);Rp20.499.000;Ultra Retina Tandem OLED 11.0 inci;Apple M4;256 GB / 512 GB / 1 TB / 2 TB;8 GB / 16 GB;Belakang Single 12 MP, Depan 12 MP;iPadOS 17.4;8.2
https://www.hallogsm.com/harga-hp/apple-ipad-air-11-2024/;Apple iPad Air 11 (2024);Rp11.999.000;Liquid Retina IPS LCD 11.0 inci;Apple M2;128GB / 256GB / 512GB / 1TB;;Belakang Single 12 MP, Depan 12 MP;iPadOS 17.4;8
https://www.hallogsm.com/harga-hp/vivo-y28-5g/;Vivo Y28 5G;Rp2.599.000;IPS LCD 6.56 inci;Mediatek Dimensity 6020 (7 nm);128 GB;4 GB / 6 GB / 8 GB;Belakang Dual 50 MP + 2 MP, Depan 8 MP;Android 13;7.6
